,familyID,year,composition,headCount,ageHead,liquidWealth,laborIncome,costPerPerson,totalExpense,participation,investmentAmount,annuityIRA,wealthWithoutHomeEquity,wealthWithHomeEquity,HomeEquity,maritalStatus,employmentStatus,education,race,industry,ownership,skillLevel,financeExperience,ageGroup,decadeGroup,stockInvestmentRatio
781,2052,1999,0,3,35,0.0,63.41,11.44,34.32,0,0.0,0.0,28.18,28.18,0.0,Married,employed,college,White,noneFinance,renter,High,No,20-40,1990s,0.0
782,5484,1999,1,4,38,3.17,98.64,11.09,44.38,0,0.0,25.83,58.36,66.58,8.22,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.0
783,6952,1999,0,4,43,9.39,82.78,10.03,40.12,0,0.0,0.0,12.92,89.24,76.33,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
786,5274,1999,0,2,55,0.47,52.84,10.45,20.9,0,0.0,0.0,-116.95,-116.95,0.0,Married,employed,college,White,noneFinance,renter,High,No,40-60,1990s,-0.0
789,2856,1999,1,2,49,1.17,49.32,13.62,27.23,0,0.0,0.0,16.44,82.2,65.76,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
791,6588,1999,1,7,55,0.94,0.0,1.83,12.78,0,0.0,0.0,12.68,38.52,25.83,Married,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
792,2432,1999,0,4,56,1.17,15.65,6.62,26.46,0,0.0,0.0,14.09,35.23,21.14,Married,unemployed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
793,6542,1999,2,2,32,11.74,119.77,25.12,50.23,1,234.85,2.35,824.32,877.16,52.84,Married,employed,postGraduate,otherRace,noneFinance,owner,High,No,20-40,1990s,0.28490149456521735
795,4469,1999,0,2,37,58.71,52.84,16.59,33.19,0,0.0,0.0,115.08,169.09,54.02,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
796,4418,1999,0,4,40,1.17,0.0,16.33,65.33,0,0.0,18.79,113.9,290.04,176.14,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.0
797,4317,1999,0,3,39,14.09,91.0,10.1,30.3,0,0.0,0.0,43.45,100.98,57.54,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
798,38,1999,0,4,38,0.0,93.94,15.03,60.11,1,7.05,0.0,24.66,116.25,91.59,Married,unemployed,college,White,noneFinance,owner,High,No,20-40,1990s,0.28588807785888076
799,2378,1999,0,3,36,1.17,0.0,6.43,19.3,0,0.0,0.0,10.45,75.03,64.58,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
800,2727,1999,0,2,33,3.52,93.94,11.31,22.61,0,0.0,0.0,192.34,217.0,24.66,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
801,1811,1999,1,4,40,12.92,99.81,11.56,46.23,0,0.0,8.81,19.73,80.79,61.06,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
802,2992,1999,0,2,35,0.59,70.68,10.49,20.97,0,0.0,0.0,47.74,132.29,84.55,Married,unemployed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,0.0
806,2678,1999,1,2,44,3.52,108.03,13.21,26.42,0,0.0,0.0,259.86,313.88,54.02,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
807,6660,1999,0,4,38,2.35,66.93,10.68,42.72,0,0.0,0.0,184.36,225.45,41.1,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
809,592,1999,0,4,40,2.35,116.25,9.87,39.48,0,0.0,34.05,45.8,84.78,38.98,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
810,3077,1999,0,3,35,21.14,90.42,11.4,34.19,0,0.0,0.0,21.14,130.34,109.2,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.0
811,270,1999,1,5,31,1.41,37.21,4.73,23.64,0,0.0,0.0,11.57,45.62,34.05,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
812,4819,1999,4,9,49,1.64,33.94,2.81,25.26,0,0.0,0.0,-0.7,14.98,15.69,Divorced,employed,postGraduate,Latino,noneFinance,owner,High,No,40-60,1990s,-0.0
813,6688,1999,5,6,37,0.01,0.0,1.85,11.07,0,0.0,0.0,-6.82,11.97,18.79,Married,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,-0.0
814,5293,1999,2,4,56,109.2,62.23,14.24,56.97,0,0.0,29.36,192.58,368.71,176.14,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
815,5797,1999,1,2,35,0.06,51.67,10.99,21.97,0,0.0,0.0,-0.53,-0.53,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,-0.0
817,4972,1999,1,2,50,17.61,158.52,40.17,80.34,1,24.66,11.74,82.2,129.17,46.97,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.3
819,212,1999,0,2,39,2.35,132.69,20.13,40.26,0,0.0,0.0,0.59,55.78,55.19,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.0
821,2381,1999,0,2,38,2.35,25.6,7.4,14.8,1,23.48,23.48,243.07,419.2,176.14,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.09659768790883286
822,3297,1999,0,4,33,5.87,73.98,8.14,32.55,0,0.0,0.0,14.68,42.86,28.18,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
823,3185,1999,0,4,44,9.39,63.41,9.35,37.42,0,0.0,5.87,25.25,73.39,48.14,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
824,624,1999,0,4,45,0.47,91.59,7.22,28.88,0,0.0,0.0,12.21,121.42,109.2,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
826,358,1999,0,4,38,0.08,29.94,6.23,24.92,0,0.0,0.0,-11.66,-10.49,1.17,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
828,1712,1999,1,3,43,0.0,0.0,9.48,28.44,0,0.0,0.0,27.59,27.59,0.0,Married,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s,0.0
829,2054,1999,0,1,39,0.09,7.4,12.48,12.48,0,0.0,0.0,0.09,0.09,0.0,Divorced,unemployed,college,White,noneFinance,renter,High,No,20-40,1990s,0.0
831,5325,1999,1,1,41,9.39,39.92,16.86,16.86,0,0.0,0.0,25.83,25.83,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
832,1894,1999,1,4,49,32.06,75.15,6.28,25.14,0,0.0,38.75,696.09,752.45,56.36,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
833,3266,1999,0,4,39,23.48,68.58,6.95,27.78,0,0.0,0.0,39.34,71.04,31.7,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
834,6842,1999,1,3,40,0.26,45.21,6.56,19.68,0,0.0,24.66,-10.31,77.76,88.07,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
835,6948,1999,0,1,36,17.61,66.93,12.67,12.67,0,0.0,0.0,8.81,8.81,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s,0.0
836,1743,1999,0,4,44,0.0,58.71,8.48,33.94,0,0.0,2.35,4.46,4.46,0.0,Married,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
838,4547,1999,1,3,43,21.14,115.08,21.65,64.94,1,1.17,0.0,47.56,140.32,92.77,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.02460050462573591
840,5383,1999,8,2,44,0.0,69.87,7.06,14.13,0,0.0,0.0,7.05,7.05,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
841,1263,1999,0,3,42,5.99,60.06,12.85,38.56,0,0.0,0.0,60.36,106.15,45.8,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
843,4331,1999,0,4,38,0.82,63.55,7.37,29.48,0,0.0,0.0,14.68,20.55,5.87,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
844,2413,1999,0,2,54,7.05,49.32,9.65,19.3,0,0.0,41.1,163.69,190.7,27.01,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
846,3613,1999,0,3,32,2.35,49.32,10.69,32.06,0,0.0,0.0,-29.36,-5.87,23.48,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,-0.0
848,839,1999,0,1,42,4.7,44.62,20.96,20.96,0,0.0,35.23,25.83,37.58,11.74,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
849,938,1999,0,4,36,7.05,90.62,8.89,35.56,1,3.52,1.76,20.26,50.79,30.53,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.17374136229022705
850,579,1999,1,3,51,14.09,96.29,24.19,72.58,0,0.0,0.0,160.28,258.92,98.64,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
851,303,1999,0,2,55,7.05,100.98,15.93,31.86,0,0.0,14.09,62.23,124.47,62.23,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
854,3027,1999,0,2,48,16.9,110.11,20.19,40.38,0,0.0,17.61,75.61,151.93,76.33,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
860,789,1999,0,1,48,2.35,56.95,23.78,23.78,1,0.14,3.52,3.66,21.28,17.61,neverMarried,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.03825136612021858
861,4545,1999,1,4,45,9.39,93.0,11.89,47.55,1,0.0,0.0,85.72,85.72,0.0,Married,employed,college,Black,noneFinance,renter,High,No,40-60,1990s,0.0
862,4818,1999,0,1,51,6.46,29.36,12.59,12.59,0,0.0,0.0,98.64,151.48,52.84,neverMarried,unemployed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
863,5502,1999,0,4,45,10.57,83.37,12.21,48.84,1,0.85,14.09,21.28,21.28,0.0,Married,unemployed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s,0.039943609022556385
866,2452,1999,0,5,48,1.17,61.06,6.14,30.72,0,0.0,0.0,-12.92,28.18,41.1,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,-0.0
867,1375,1999,0,6,31,1.17,38.4,4.71,28.23,1,1.76,0.12,-0.47,38.28,38.75,Married,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,0.0
869,3475,1999,0,5,42,1.76,76.91,5.29,26.44,1,14.09,17.61,68.69,96.88,28.18,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.2051244722667055
871,2450,1999,0,5,40,17.61,81.02,7.47,37.33,0,0.0,2.94,20.55,55.78,35.23,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
872,6954,1999,2,1,56,15.27,58.71,15.87,15.87,0,0.0,93.94,109.2,310.0,200.8,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
873,2027,1999,3,2,53,2.35,65.76,7.34,14.67,1,234.85,58.71,307.06,430.36,123.3,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.7648342343515925
874,681,1999,1,2,58,0.0,35.23,7.11,14.23,0,0.0,5.87,3.17,79.5,76.33,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
877,1896,1999,0,1,45,0.0,11.74,7.79,7.79,0,0.0,0.0,0.0,0.0,0.0,neverMarried,employed,highSchool,Black,noneFinance,renter,Low,No,40-60,1990s,0.0
879,1895,1999,1,4,41,55.19,84.9,6.24,24.95,0,0.0,32.88,195.75,238.02,42.27,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
881,2059,1999,1,6,37,8.22,34.05,15.34,92.03,0,0.0,58.71,1149.58,1325.72,176.14,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.0
882,3004,1999,1,5,31,1.17,105.68,14.51,72.56,0,0.0,29.36,337.01,401.59,64.58,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
883,1120,1999,1,2,48,0.0,17.61,15.25,30.49,0,0.0,0.0,15.27,103.33,88.07,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
884,1280,1999,0,1,47,0.35,20.29,12.44,12.44,0,0.0,0.0,-26.42,-26.42,0.0,neverMarried,employed,college,White,finance,renter,High,Yes,40-60,1990s,-0.0
886,1592,1999,0,5,38,117.42,436.82,13.11,65.54,1,70.45,0.0,994.58,1155.45,160.87,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.07083391984556295
887,1004,1999,0,2,57,14.09,27.01,14.97,29.95,1,35.23,23.48,119.3,207.37,88.07,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.29530595138306787
888,2034,1999,0,1,33,17.61,46.97,18.74,18.74,0,0.0,0.0,34.88,34.88,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,0.0
892,4085,1999,0,5,52,7.05,169.68,27.9,139.48,1,293.56,105.68,729.79,835.47,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.4022527028323217
893,3051,1999,1,1,51,0.01,44.74,17.95,17.95,0,0.0,0.0,-12.9,-12.9,0.0,Divorced,employed,postGraduate,White,finance,renter,High,Yes,40-60,1990s,-0.0
894,3622,1999,2,2,32,3.52,37.58,15.89,31.78,0,0.0,2.35,-35.23,-35.23,0.0,Divorced,unemployed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,-0.0
895,3801,1999,2,3,52,1.41,17.61,7.03,21.08,0,0.0,0.0,-0.94,9.63,10.57,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,-0.0
897,1473,1999,1,5,36,5.28,59.89,11.61,58.04,0,0.0,96.29,170.85,224.87,54.02,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
898,2722,1999,0,3,32,3.29,58.71,8.57,25.7,0,0.0,0.0,-17.85,33.82,51.67,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
900,3376,1999,0,3,39,5.87,75.15,9.0,27.0,0,0.0,105.68,106.03,140.09,34.05,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
902,362,1999,0,2,42,0.47,82.67,19.32,38.64,0,0.0,0.0,-10.1,33.35,43.45,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,-0.0
903,3696,1999,2,5,40,5.28,96.29,8.35,41.77,0,0.0,0.0,87.48,197.86,110.38,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
904,366,1999,1,3,42,1.17,144.43,17.96,53.88,1,35.23,0.0,41.1,140.91,99.81,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.8571776155717761
906,3332,1999,4,6,55,12.92,92.77,10.59,63.55,0,0.0,176.14,153.83,200.8,46.97,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
907,1566,1999,0,1,52,1.06,0.0,7.58,7.58,0,0.0,0.0,61.65,61.65,0.0,Divorced,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
908,2500,1999,0,1,56,5.87,64.58,12.38,12.38,1,93.94,0.0,157.58,228.04,70.45,neverMarried,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.5961416423403985
909,552,1999,0,4,50,1.17,133.86,13.34,53.35,1,105.68,31.7,156.17,236.02,79.85,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.6766984696164438
910,3527,1999,0,5,42,1.17,99.81,10.38,51.9,1,3.52,4.7,32.88,77.5,44.62,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.1070559610705596
911,3387,1999,0,4,39,23.48,205.42,17.02,68.09,1,72.8,3.52,126.58,326.2,199.62,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.5751303523463422
912,4631,1999,0,2,43,1.17,89.24,23.61,47.22,0,0.0,0.0,0.0,108.03,108.03,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
914,1998,1999,2,5,38,0.12,41.1,4.82,24.12,1,23.48,0.0,5.99,54.13,48.14,neverMarried,unemployed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,0.0
915,1624,1999,0,3,34,35.23,107.17,18.77,56.31,1,70.45,43.45,194.22,323.39,129.17,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.36273298321491093
916,2482,1999,0,2,32,8.22,83.96,19.28,38.55,1,2.35,0.0,29.36,85.72,56.36,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0800408719346049
917,652,1999,1,5,56,35.23,99.28,6.71,33.56,1,11.74,11.74,98.93,152.95,54.02,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.11866976650156676
918,653,1999,1,2,54,1.17,15.27,14.07,28.14,1,5.87,11.74,12.92,12.92,0.0,Divorced,unemployed,college,White,noneFinance,renter,High,No,40-60,1990s,0.4543343653250774
922,4682,1999,0,5,42,9.39,74.16,6.14,30.69,1,7.05,16.44,36.4,73.98,37.58,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.1936813186813187
923,2451,1999,0,4,35,2.15,55.19,5.27,21.09,0,0.0,0.0,-6.66,2.74,9.39,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
924,1973,1999,0,1,52,0.47,17.73,15.15,15.15,0,0.0,0.0,9.63,50.73,41.1,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
925,3621,1999,0,4,33,0.23,61.69,7.2,28.81,0,0.0,0.0,0.68,-41.59,-42.27,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
926,4320,1999,0,2,59,0.7,42.96,8.7,17.4,0,0.0,15.27,199.15,304.83,105.68,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
927,2175,1999,1,5,34,0.82,12.46,3.72,18.58,0,0.0,0.0,-5.64,-5.64,0.0,neverMarried,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s,-0.0
929,2832,1999,1,3,36,0.08,21.02,11.94,35.82,0,0.0,0.0,-14.01,-14.01,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,-0.0
930,5292,1999,0,3,38,0.12,54.02,10.09,30.27,0,0.0,0.0,-103.22,-103.22,0.0,Married,unemployed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,-0.0
933,2060,1999,0,1,38,1.17,45.8,12.62,12.62,0,0.0,0.0,12.92,39.92,27.01,neverMarried,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s,0.0
935,1402,1999,2,2,51,187.88,72.8,12.9,25.81,1,117.42,0.0,412.16,529.58,117.42,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.28488936335403725
936,903,1999,0,5,48,5.87,81.61,15.31,76.53,1,23.48,234.85,293.56,557.77,264.2,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.07998364899850116
937,2142,1999,0,1,48,0.0,31.7,19.0,19.0,0,0.0,0.0,37.58,37.58,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
940,3434,1999,0,5,50,64.58,69.28,13.2,65.99,1,11.74,0.0,76.33,120.95,44.62,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.15380584304991485
941,5421,1999,0,2,53,5.87,79.85,29.04,58.09,1,172.61,71.63,421.55,867.77,446.21,Married,retired,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.4094650693867869
942,1058,1999,0,4,48,4.7,140.91,17.32,69.28,1,93.94,0.0,730.38,906.52,176.14,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.12861797968180946
944,1676,1999,1,4,54,5.87,64.58,14.15,56.6,0,0.0,25.83,43.45,78.67,35.23,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
946,536,1999,0,2,59,23.48,58.71,15.76,31.52,0,0.0,58.71,328.14,496.06,167.92,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
948,5932,1999,3,2,36,23.48,47.83,44.47,88.94,1,293.56,58.71,496.23,732.26,236.02,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.5915805170989259
949,3577,1999,0,3,32,11.74,88.07,15.61,46.83,1,58.71,58.71,487.31,698.67,211.36,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.12047772465165911
950,6208,1999,2,1,42,30.53,117.42,38.82,38.82,1,70.45,0.0,816.69,816.69,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s,0.08626284146983555
953,2657,1999,0,1,38,64.58,49.08,7.25,7.25,0,0.0,11.74,91.0,173.2,82.2,neverMarried,employed,college,White,noneFinance,owner,High,No,20-40,1990s,0.0
955,1465,1999,2,1,50,117.42,27.67,8.96,8.96,0,0.0,0.0,119.19,160.28,41.1,Separated,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
956,3052,1999,0,2,46,11.74,112.73,12.27,24.54,1,23.48,88.07,118.95,118.95,0.0,neverMarried,unemployed,postGraduate,White,finance,renter,High,Yes,40-60,1990s,0.19739386296763345
959,2026,1999,0,2,41,2.35,50.49,9.85,19.7,1,0.47,0.0,4.23,4.23,0.0,neverMarried,employed,postGraduate,Asian,noneFinance,renter,High,No,40-60,1990s,0.11111111111111109
960,995,1999,0,1,37,5.87,19.73,12.07,12.07,0,0.0,0.0,24.78,24.78,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s,0.0
961,1958,1999,0,4,41,1.41,28.18,10.96,43.86,1,8.22,43.92,54.13,54.13,0.0,Married,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s,0.1518566414188066
962,1111,1999,0,4,44,2.94,79.85,7.57,30.28,1,35.23,9.39,187.76,289.92,102.16,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.18763314870046868
964,1099,1999,0,4,46,11.74,133.28,10.81,43.23,1,146.78,0.0,151.48,270.08,118.6,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.9689728016899921
965,1472,1999,0,2,45,1.88,119.77,17.32,34.65,0,0.0,234.85,256.69,343.58,86.89,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
967,3212,1999,0,1,53,5.87,48.73,43.32,43.32,0,0.0,0.0,29.12,29.12,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s,0.0
969,985,1999,0,2,53,27.01,48.5,22.64,45.28,1,58.71,17.61,333.48,627.05,293.56,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.17605253688377112
971,5524,1999,1,1,60,19.96,9.39,23.36,23.36,0,0.0,0.0,48.14,169.09,120.95,Widowed,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
974,896,1999,2,1,55,70.45,85.02,41.42,41.42,0,0.0,9.63,80.08,80.08,0.0,Divorced,employed,postGraduate,White,finance,renter,High,Yes,40-60,1990s,0.0
975,5697,1999,3,1,55,117.42,21.14,16.29,16.29,0,0.0,9.98,359.91,359.91,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s,0.0
978,57,1999,1,2,47,23.48,0.0,10.24,20.49,1,5.87,15.27,166.16,217.82,51.67,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.03532739528165624
979,332,1999,0,5,45,0.0,113.9,7.47,37.35,1,1409.09,0.0,1585.23,1714.39,129.17,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.8888867861445973
981,4801,1999,0,4,41,5.87,88.07,7.59,30.35,1,19.96,234.85,272.42,331.14,58.71,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.07326921665075986
982,2591,1999,0,5,43,23.48,74.9,9.11,45.55,0,0.0,10.69,40.04,115.19,75.15,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
983,1327,1999,0,4,50,93.94,130.34,9.07,36.29,1,187.88,334.66,625.64,753.63,127.99,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.300300492295889
985,185,1999,0,1,51,0.35,52.84,19.54,19.54,0,0.0,0.0,21.49,21.49,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s,0.0
988,243,1999,0,4,56,11.74,127.96,11.37,45.5,1,82.2,587.12,817.27,893.6,76.33,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.10057875610263439
989,6690,1999,1,1,56,0.02,18.79,13.28,13.28,0,0.0,0.0,21.51,69.66,48.14,Separated,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
991,912,1999,0,2,55,159.7,147.95,10.19,20.37,1,146.78,0.0,735.08,999.28,264.2,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.19967894650922347
992,1131,1999,0,1,30,5.87,40.51,16.8,16.8,0,0.0,0.0,12.92,12.92,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,0.0
993,1520,1999,2,1,57,25.83,0.53,14.91,14.91,0,0.0,0.0,45.8,71.63,25.83,Divorced,retired,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
994,2871,1999,0,2,56,0.82,25.95,8.04,16.09,0,0.0,0.23,-0.7,48.85,49.55,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s,-0.0
996,5258,1999,0,2,59,5.87,49.32,14.24,28.49,0,0.0,58.71,82.2,146.78,64.58,Married,retired,postGraduate,White,noneFinance,owner,High,No,40-60,1990s,0.0
998,4044,1999,0,1,44,3.52,37.34,17.31,17.31,0,0.0,0.0,25.83,25.83,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
999,3655,1999,0,2,43,18.79,43.45,8.64,17.28,1,11.74,46.97,106.86,106.86,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.10986337263709527
1000,3177,1999,1,4,39,1.41,93.94,8.3,33.18,0,0.0,0.0,-5.64,47.2,52.84,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
1001,3982,1999,0,4,35,2.35,46.97,6.94,27.74,0,0.0,0.0,-19.73,16.67,36.4,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s,-0.0
1003,3654,1999,3,1,41,0.94,7.05,18.12,18.12,0,0.0,0.0,7.98,72.57,64.58,Separated,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s,0.0
1004,1424,1999,1,2,31,0.47,21.14,10.73,21.46,0,0.0,0.0,-15.97,-15.97,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s,-0.0
1006,2644,1999,0,2,59,1.17,38.9,9.07,18.13,0,0.0,0.0,8.04,44.79,36.75,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0
1008,3067,1999,0,2,41,11.74,108.03,38.09,76.18,1,70.45,234.85,1009.85,1131.97,122.12,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s,0.0697628360647621
1009,5646,1999,0,4,37,9.39,182.01,16.57,66.28,1,176.14,88.07,314.7,420.38,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s,0.559707658087067
1011,3148,1999,0,2,54,0.82,122.12,12.7,25.4,0,0.0,0.0,45.44,45.44,0.0,Married,employed,college,White,noneFinance,renter,High,No,40-60,1990s,0.0
