,Unnamed: 0,familyID,year,composition,headCount,ageHead,liquidWealth,laborIncome,costPerPerson,totalExpense,participation,investmentAmount,annuityIRA,wealthWithoutHomeEquity,wealthWithHomeEquity,HomeEquity,maritalStatus,employmentStatus,education,race,industry,ownership,skillLevel,financeExperience,ageGroup,decadeGroup
844,942,1058,1999,0,4,48,4.7,140.91,17.32,69.28,1,93.94,0.0,730.38,906.52,176.14,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
845,944,1676,1999,1,4,54,5.87,64.58,14.15,56.6,0,0.0,25.83,43.45,78.67,35.23,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
847,946,536,1999,0,2,59,23.48,58.71,15.76,31.52,0,0.0,58.71,328.14,496.06,167.92,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
848,948,5932,1999,3,2,36,23.48,47.83,44.47,88.94,1,293.56,58.71,496.23,732.26,236.02,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
849,949,3577,1999,0,3,32,11.74,88.07,15.61,46.83,1,58.71,58.71,487.31,698.67,211.36,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
850,950,6208,1999,2,1,42,30.53,117.42,38.82,38.82,1,70.45,0.0,816.69,816.69,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
853,953,2657,1999,0,1,38,64.58,49.08,7.25,7.25,0,0.0,11.74,91.0,173.2,82.2,neverMarried,employed,college,White,noneFinance,owner,High,No,20-40,1990s
855,955,1465,1999,2,1,50,117.42,27.67,8.96,8.96,0,0.0,0.0,119.19,160.28,41.1,Separated,employed,college,White,noneFinance,owner,High,No,40-60,1990s
856,956,3052,1999,0,2,46,11.74,112.73,12.27,24.54,1,23.48,88.07,118.95,118.95,0.0,neverMarried,unemployed,postGraduate,White,finance,renter,High,Yes,40-60,1990s
858,959,2026,1999,0,2,41,2.35,50.49,9.85,19.7,1,0.47,0.0,4.23,4.23,0.0,neverMarried,employed,postGraduate,Asian,noneFinance,renter,High,No,40-60,1990s
859,960,995,1999,0,1,37,5.87,19.73,12.07,12.07,0,0.0,0.0,24.78,24.78,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s
860,961,1958,1999,0,4,41,1.41,28.18,10.96,43.86,1,8.22,43.92,54.13,54.13,0.0,Married,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s
861,962,1111,1999,0,4,44,2.94,79.85,7.57,30.28,1,35.23,9.39,187.76,289.92,102.16,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
863,964,1099,1999,0,4,46,11.74,133.28,10.81,43.23,1,146.78,0.0,151.48,270.08,118.6,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
864,965,1472,1999,0,2,45,1.88,119.77,17.32,34.65,0,0.0,234.85,256.69,343.58,86.89,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
866,967,3212,1999,0,1,53,5.87,48.73,43.32,43.32,0,0.0,0.0,29.12,29.12,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
868,969,985,1999,0,2,53,27.01,48.5,22.64,45.28,1,58.71,17.61,333.48,627.05,293.56,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
870,971,5524,1999,1,1,60,19.96,9.39,23.36,23.36,0,0.0,0.0,48.14,169.09,120.95,Widowed,employed,college,White,noneFinance,owner,High,No,60-80,1990s
872,974,896,1999,2,1,55,70.45,85.02,41.42,41.42,0,0.0,9.63,80.08,80.08,0.0,Divorced,employed,postGraduate,White,finance,renter,High,Yes,40-60,1990s
873,975,5697,1999,3,1,55,117.42,21.14,16.29,16.29,0,0.0,9.98,359.91,359.91,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
876,978,57,1999,1,2,47,23.48,0.0,10.24,20.49,1,5.87,15.27,166.16,217.82,51.67,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
878,981,4801,1999,0,4,41,5.87,88.07,7.59,30.35,1,19.96,234.85,272.42,331.14,58.71,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
879,982,2591,1999,0,5,43,23.48,74.9,9.11,45.55,0,0.0,10.69,40.04,115.19,75.15,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
880,983,1327,1999,0,4,50,93.94,130.34,9.07,36.29,1,187.88,334.66,625.64,753.63,127.99,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
881,985,185,1999,0,1,51,0.35,52.84,19.54,19.54,0,0.0,0.0,21.49,21.49,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
884,989,6690,1999,1,1,56,0.02,18.79,13.28,13.28,0,0.0,0.0,21.51,69.66,48.14,Separated,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
886,992,1131,1999,0,1,30,5.87,40.51,16.8,16.8,0,0.0,0.0,12.92,12.92,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s
887,993,1520,1999,2,1,57,25.83,0.53,14.91,14.91,0,0.0,0.0,45.8,71.63,25.83,Divorced,retired,college,White,noneFinance,owner,High,No,40-60,1990s
888,994,2871,1999,0,2,56,0.82,25.95,8.04,16.09,0,0.0,0.23,-0.7,48.85,49.55,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s
890,996,5258,1999,0,2,59,5.87,49.32,14.24,28.49,0,0.0,58.71,82.2,146.78,64.58,Married,retired,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
892,998,4044,1999,0,1,44,3.52,37.34,17.31,17.31,0,0.0,0.0,25.83,25.83,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
893,999,3655,1999,0,2,43,18.79,43.45,8.64,17.28,1,11.74,46.97,106.86,106.86,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
894,1000,3177,1999,1,4,39,1.41,93.94,8.3,33.18,0,0.0,0.0,-5.64,47.2,52.84,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
895,1001,3982,1999,0,4,35,2.35,46.97,6.94,27.74,0,0.0,0.0,-19.73,16.67,36.4,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
897,1003,3654,1999,3,1,41,0.94,7.05,18.12,18.12,0,0.0,0.0,7.98,72.57,64.58,Separated,unemployed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
898,1004,1424,1999,1,2,31,0.47,21.14,10.73,21.46,0,0.0,0.0,-15.97,-15.97,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s
900,1006,2644,1999,0,2,59,1.17,38.9,9.07,18.13,0,0.0,0.0,8.04,44.79,36.75,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
902,1009,5646,1999,0,4,37,9.39,182.01,16.57,66.28,1,176.14,88.07,314.7,420.38,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
904,1011,3148,1999,0,2,54,0.82,122.12,12.7,25.4,0,0.0,0.0,45.44,45.44,0.0,Married,employed,college,White,noneFinance,renter,High,No,40-60,1990s
905,1012,1406,1999,0,3,32,1.17,17.61,8.7,26.1,0,0.0,0.0,4.11,11.74,7.63,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s
906,1013,2358,1999,0,2,51,0.0,0.0,9.51,19.02,0,0.0,0.0,2.94,52.25,49.32,Married,unemployed,highSchool,Black,noneFinance,owner,Low,No,40-60,1990s
907,1014,2555,1999,1,1,43,0.0,1.76,7.78,7.78,0,0.0,0.0,0.0,0.0,0.0,neverMarried,employed,highSchool,Black,noneFinance,renter,Low,No,40-60,1990s
908,1015,4960,1999,5,2,41,0.0,7.05,7.79,15.58,0,0.0,0.0,-0.23,-0.23,0.0,neverMarried,employed,highSchool,Black,noneFinance,renter,Low,No,40-60,1990s
909,1016,305,1999,1,7,47,0.0,0.36,1.21,8.45,0,0.0,0.0,0.0,0.0,0.0,Divorced,unemployed,highSchool,Black,noneFinance,renter,Low,No,40-60,1990s
912,1019,2556,1999,0,2,53,14.09,0.0,10.21,20.42,0,0.0,90.42,333.48,433.3,99.81,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
913,1020,3068,1999,0,4,32,2.35,73.98,9.59,38.35,0,0.0,0.0,9.39,53.43,44.03,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
916,1023,3757,1999,1,2,55,0.0,34.45,9.65,19.3,0,0.0,0.0,2.23,39.81,37.58,Widowed,employed,college,White,noneFinance,owner,High,No,40-60,1990s
919,1027,2997,1999,0,4,42,0.05,52.84,6.48,25.91,0,0.0,0.0,4.74,-35.88,-40.62,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
922,1030,432,1999,0,1,54,4.7,32.88,29.0,29.0,0,0.0,41.1,65.76,183.18,117.42,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
923,1031,640,1999,0,1,36,0.0,39.92,18.48,18.48,1,4.11,0.0,127.05,174.02,46.97,neverMarried,employed,college,White,noneFinance,owner,High,No,20-40,1990s
924,1032,6179,1999,4,5,33,17.61,72.22,7.1,35.5,1,17.61,0.0,83.37,115.66,32.29,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
929,1037,2468,1999,0,3,31,2.05,66.49,9.79,29.37,1,5.87,123.3,158.23,202.39,44.16,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
930,1038,250,1999,0,2,52,3.52,86.66,21.2,42.4,0,0.0,0.0,22.78,95.58,72.8,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
931,1040,429,1999,1,3,50,23.48,73.98,24.07,72.21,1,5.87,317.05,378.69,566.57,187.88,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
934,1044,1132,1999,0,2,39,1.17,57.54,15.94,31.88,0,0.0,0.0,20.9,45.56,24.66,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
935,1045,6437,1999,0,1,35,0.0,7.63,20.99,20.99,0,0.0,0.0,-35.23,-35.23,0.0,neverMarried,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
936,1046,5704,1999,0,5,44,176.14,164.39,17.21,86.05,0,0.0,0.0,366.36,398.07,31.7,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
937,1047,1853,1999,0,4,45,0.59,50.71,8.29,33.15,0,0.0,4.11,10.27,10.27,0.0,Married,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
938,1048,5999,1999,0,6,40,5.87,27.48,10.83,64.96,0,0.0,3.52,46.27,46.27,0.0,Married,employed,college,White,noneFinance,renter,High,No,40-60,1990s
939,1049,534,1999,1,4,48,0.0,66.34,16.24,64.97,0,0.0,0.0,6.46,44.04,37.58,Married,employed,postGraduate,Black,noneFinance,owner,High,No,40-60,1990s
940,1050,1288,1999,0,3,47,41.1,151.48,10.9,32.71,0,0.0,0.0,193.75,250.11,56.36,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
941,1051,533,1999,0,1,58,0.23,0.0,7.64,7.64,0,0.0,0.0,2.0,2.0,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
942,1053,4604,1999,0,4,36,7.05,51.08,7.35,29.41,1,1.17,0.0,2.35,2.35,0.0,Married,employed,college,White,noneFinance,renter,High,No,20-40,1990s
943,1054,2425,1999,1,6,39,56.36,63.41,5.92,35.54,0,0.0,0.0,91.59,162.05,70.45,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
945,1056,3937,1999,1,4,37,1.41,53.43,4.77,19.08,0,0.0,0.0,-10.33,-10.33,0.0,Married,unemployed,highSchool,Latino,noneFinance,renter,Low,No,20-40,1990s
947,1058,2462,1999,0,3,40,4.7,34.05,4.65,13.95,0,0.0,0.0,10.57,10.57,0.0,Married,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s
948,1059,1493,1999,0,2,48,82.2,54.02,17.26,34.52,0,0.0,0.0,506.1,604.38,98.28,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
949,1060,6837,1999,0,6,33,2.35,57.54,8.67,52.04,0,0.0,0.0,237.67,295.2,57.54,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
950,1061,2535,1999,0,4,42,3.52,152.65,14.89,59.57,1,88.07,234.85,334.89,420.61,85.72,Married,employed,postGraduate,White,finance,owner,High,Yes,40-60,1990s
951,1063,964,1999,0,2,57,0.12,4.7,6.99,13.98,0,0.0,0.0,-8.1,-8.1,0.0,Married,retired,highSchool,AmericanIndian,noneFinance,renter,Low,No,40-60,1990s
953,1065,4023,1999,0,2,54,35.23,27.01,11.0,22.0,0,0.0,42.27,92.77,143.15,50.38,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
954,1066,5810,1999,0,4,36,16.44,143.26,8.84,35.36,1,11.74,35.23,68.11,138.56,70.45,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
955,1067,4073,1999,0,6,33,5.87,4.7,10.11,60.66,1,0.59,0.59,241.89,245.42,3.52,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
958,1070,4936,1999,2,2,46,2.35,50.49,11.53,23.06,0,0.0,0.47,2.82,52.72,49.91,Separated,employed,college,White,noneFinance,owner,High,No,40-60,1990s
960,1072,5861,1999,0,2,47,9.39,34.05,12.55,25.1,1,35.23,0.0,43.45,43.45,0.0,Divorced,retired,college,White,noneFinance,renter,High,No,40-60,1990s
961,1073,4706,1999,0,1,52,21.14,69.28,16.77,16.77,0,0.0,16.44,42.27,49.32,7.05,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s
962,1074,4646,1999,0,2,30,2.23,78.67,18.7,37.41,0,0.0,0.0,-26.19,-15.62,10.57,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
964,1076,2193,1999,8,3,57,46.97,146.78,30.37,91.11,0,0.0,234.85,240.72,311.17,70.45,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
965,1077,4113,1999,0,1,45,0.82,24.66,11.26,11.26,0,0.0,0.0,4.34,4.34,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
966,1078,3298,1999,0,5,42,5.87,83.47,7.11,35.56,0,0.0,0.0,11.74,52.84,41.1,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
968,1082,2174,1999,0,1,53,8.81,24.66,20.46,20.46,0,0.0,1.77,31.72,31.72,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
970,1085,4422,1999,0,3,50,2.11,66.12,9.8,29.4,0,0.0,0.0,25.6,39.69,14.09,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
972,1087,2208,1999,0,3,45,23.48,96.88,8.77,26.3,1,164.39,0.0,211.36,352.27,140.91,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
974,1090,4645,1999,0,2,52,93.94,56.95,13.26,26.52,1,110.38,111.55,327.61,415.68,88.07,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
976,1092,1452,1999,1,2,56,1.76,58.71,30.08,60.17,1,0.59,164.39,207.14,244.71,37.58,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
978,1095,1556,1999,0,2,59,23.48,60.47,14.74,29.48,1,76.33,93.94,257.75,416.27,158.52,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
980,1097,1802,1999,0,2,43,3.17,46.79,12.77,25.55,0,0.0,0.0,-14.43,-14.43,0.0,Married,unemployed,college,White,noneFinance,owner,High,No,40-60,1990s
981,1098,2610,1999,1,3,36,2.35,16.44,4.26,12.77,0,0.0,0.0,2.94,2.94,0.0,Divorced,unemployed,college,White,noneFinance,renter,High,No,20-40,1990s
984,1101,1951,1999,1,3,53,0.0,37.58,11.49,34.47,0,0.0,0.0,0.0,5.87,5.87,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
985,1102,6673,1999,3,1,35,0.0,11.74,8.73,8.73,0,0.0,0.0,-1.41,-1.41,0.0,Divorced,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
986,1104,2906,1999,1,1,59,1.17,23.02,18.27,18.27,1,14.09,7.05,31.7,32.76,1.06,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
987,1105,4070,1999,0,4,38,2.35,72.8,11.29,45.16,0,0.0,0.0,15.85,42.86,27.01,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
988,1106,3902,1999,0,4,39,5.87,108.03,12.03,48.12,1,35.23,52.84,91.59,170.27,78.67,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
990,1108,3242,1999,0,5,43,0.0,85.72,6.29,31.46,1,52.84,7.05,64.58,99.81,35.23,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
991,1109,4603,1999,1,2,56,3.52,2.47,16.65,33.31,0,0.0,0.0,4.7,85.72,81.02,Married,employed,highSchool,Latino,noneFinance,owner,Low,No,40-60,1990s
992,1110,5200,1999,0,2,34,7.05,67.67,9.83,19.67,0,0.0,4.7,19.38,19.38,0.0,Divorced,employed,highSchool,Latino,noneFinance,renter,Low,No,20-40,1990s
993,1111,6924,1999,5,4,33,4.7,76.33,11.01,44.06,0,0.0,0.0,108.73,165.1,56.36,neverMarried,employed,highSchool,Latino,noneFinance,owner,Low,No,20-40,1990s
995,1114,2536,1999,0,1,44,17.61,65.76,32.64,32.64,1,76.33,58.71,200.21,258.92,58.71,neverMarried,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
997,1116,2036,1999,0,2,48,0.59,73.98,19.22,38.44,0,0.0,7.05,20.55,62.82,42.27,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
998,1117,3617,1999,0,2,36,0.41,29.36,11.76,23.51,0,0.0,0.0,3.93,3.93,0.0,neverMarried,employed,college,White,noneFinance,renter,High,No,20-40,1990s
999,1119,1595,1999,1,2,31,5.87,68.11,14.09,28.17,0,0.0,93.94,110.38,110.38,0.0,neverMarried,employed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s
1001,1121,4374,1999,1,2,30,49.32,148.86,15.47,30.95,1,0.06,6.81,68.16,68.16,0.0,Married,unemployed,postGraduate,White,noneFinance,renter,High,No,20-40,1990s
1003,1123,3978,1999,0,3,49,46.97,117.42,12.85,38.54,0,0.0,0.0,88.07,166.16,78.09,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1005,1125,5935,1999,0,5,43,1.76,52.23,9.02,45.09,1,11.74,7.05,19.38,86.31,66.93,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1006,1126,4590,1999,0,4,44,1.64,75.15,10.12,40.49,0,0.0,0.0,-7.75,3.99,11.74,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1007,1127,5753,1999,0,4,41,4.7,99.81,14.2,56.8,0,0.0,0.0,92.77,150.3,57.54,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1009,1129,2021,1999,1,4,41,0.06,25.48,7.15,28.6,0,0.0,0.0,-41.04,-26.95,14.09,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1011,1131,4344,1999,0,4,42,1.76,22.31,6.2,24.81,0,0.0,0.0,25.25,72.22,46.97,Divorced,employed,college,White,finance,owner,High,Yes,40-60,1990s
1012,1132,2783,1999,1,4,35,8.22,38.75,11.46,45.86,1,10.57,14.09,225.45,251.29,25.83,Married,employed,postGraduate,White,finance,owner,High,Yes,20-40,1990s
1013,1133,4953,1999,0,3,44,117.42,153.83,22.95,68.86,1,35.23,0.0,300.61,365.19,64.58,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1014,1135,4018,1999,2,2,44,17.61,216.06,26.82,53.63,1,234.85,117.42,372.23,372.23,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
1015,1136,4860,1999,0,3,40,3.52,171.88,20.36,61.09,1,11.74,0.0,9.39,126.82,117.42,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1016,1138,364,1999,0,5,40,0.12,42.98,4.68,23.41,0,0.0,0.0,7.16,9.86,2.7,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1017,1139,2932,1999,0,4,40,5.87,97.46,8.45,33.81,0,0.0,11.04,23.95,32.17,8.22,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1018,1140,213,1999,0,4,41,4.11,77.27,12.51,50.05,0,0.0,2.35,-0.59,29.94,30.53,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1019,1141,5124,1999,2,5,43,1.17,64.58,6.53,32.67,0,0.0,0.0,7.05,7.05,0.0,Divorced,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
1022,1144,5595,1999,5,3,44,5.87,17.61,12.17,36.51,0,0.0,0.0,13.74,13.74,0.0,Widowed,employed,highSchool,White,noneFinance,renter,Low,No,40-60,1990s
1023,1145,1123,1999,0,4,38,7.05,44.03,8.43,33.73,0,0.0,0.0,30.53,30.53,0.0,Married,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
1025,1147,6374,1999,0,4,34,3.52,80.79,10.3,41.2,0,0.0,0.0,12.62,34.93,22.31,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
1026,1148,1471,1999,2,2,49,0.0,57.54,16.3,32.6,0,0.0,0.0,1.64,48.61,46.97,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1028,1152,6271,1999,0,4,35,105.68,58.71,10.89,43.56,1,7.05,0.0,118.6,365.19,246.59,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
1029,1153,1594,1999,1,4,31,1.17,88.07,12.14,48.56,0,0.0,52.84,77.5,230.15,152.65,Married,employed,postGraduate,White,finance,owner,High,Yes,20-40,1990s
1031,1156,3658,1999,0,4,46,7.05,92.77,10.44,41.76,0,0.0,0.0,19.96,78.67,58.71,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1034,1159,3689,1999,0,2,54,0.12,96.29,15.86,31.72,0,0.0,0.0,41.22,122.24,81.02,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1035,1160,233,1999,0,3,34,2.94,21.14,5.76,17.29,0,0.0,5.87,22.9,122.71,99.81,Divorced,employed,college,White,finance,owner,High,Yes,20-40,1990s
1037,1162,1875,1999,0,4,38,5.87,64.58,9.21,36.86,1,29.36,0.0,67.7,67.7,0.0,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
1039,1164,405,1999,0,2,53,3.17,37.58,9.81,19.62,0,0.0,0.0,32.53,30.18,-2.35,Divorced,employed,college,Black,noneFinance,owner,High,No,40-60,1990s
1042,1168,1620,1999,0,2,49,1.29,31.7,8.52,17.04,0,0.0,0.0,-1.53,-1.53,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
1043,1169,1325,1999,3,4,46,1.17,3.15,2.77,11.09,0,0.0,0.0,2.52,2.52,0.0,Separated,employed,college,White,noneFinance,renter,High,No,40-60,1990s
1044,1170,1146,1999,2,4,42,1.17,39.92,5.51,22.02,1,3.52,0.0,-17.03,35.81,52.84,Married,unemployed,college,White,noneFinance,owner,High,No,40-60,1990s
1046,1172,2249,1999,0,3,53,0.7,76.33,10.96,32.89,0,0.0,117.42,143.96,249.64,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1050,1178,1237,1999,1,2,51,5.87,67.52,12.41,24.83,0,0.0,11.74,52.84,158.52,105.68,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1052,1181,1838,1999,0,4,51,105.68,103.33,5.28,21.12,1,293.56,234.85,669.32,868.94,199.62,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1053,1182,6712,1999,0,4,51,1.41,72.8,9.71,38.82,0,0.0,9.39,272.66,472.28,199.62,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1054,1185,2920,1999,0,2,34,0.0,14.09,6.72,13.45,0,0.0,0.0,-65.76,-48.14,17.61,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
1056,1187,1897,1999,1,3,31,2.35,64.58,8.01,24.03,1,46.97,0.0,82.78,106.27,23.48,Married,employed,highSchool,White,noneFinance,owner,Low,No,20-40,1990s
1060,1193,6511,1999,0,1,36,0.0,12.92,11.77,11.77,0,0.0,0.0,-149.13,-149.13,0.0,neverMarried,employed,highSchool,White,noneFinance,renter,Low,No,20-40,1990s
1061,1194,6530,1999,8,1,33,0.0,32.88,15.14,15.14,0,0.0,0.0,-58.71,-58.71,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,20-40,1990s
1062,1195,2514,1999,0,2,52,105.68,123.3,11.38,22.75,0,0.0,34.05,186.7,333.48,146.78,Married,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1063,1199,2006,1999,0,2,44,2.94,51.67,22.12,44.23,1,46.97,23.48,69.87,74.56,4.7,Divorced,employed,postGraduate,White,finance,owner,High,Yes,40-60,1990s
1064,1200,6167,1999,0,3,35,7.05,91.59,11.11,33.33,1,35.23,11.74,63.59,104.68,41.1,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
1066,1202,6212,1999,0,3,38,9.39,72.8,11.11,33.34,0,0.0,23.48,88.07,146.78,58.71,Married,employed,postGraduate,White,noneFinance,owner,High,No,20-40,1990s
1068,1204,5364,1999,1,1,51,0.11,0.0,10.39,10.39,0,0.0,0.0,14.78,50.01,35.23,Divorced,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1070,1208,2730,1999,0,3,53,1.76,20.43,6.17,18.5,0,0.0,0.0,41.69,41.69,0.0,Married,unemployed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
1071,1209,148,1999,0,3,54,29.36,110.14,15.82,47.46,1,35.23,0.0,129.17,253.64,124.47,Married,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
1072,1210,713,1999,0,1,52,0.0,35.23,17.25,17.25,0,0.0,0.0,23.48,82.2,58.71,Divorced,employed,highSchool,White,noneFinance,owner,Low,No,40-60,1990s
1073,1211,6538,1999,0,4,38,0.0,73.98,11.0,43.99,0,0.0,0.0,-15.27,8.22,23.48,Married,employed,college,White,noneFinance,owner,High,No,20-40,1990s
1075,1213,3156,1999,0,1,33,5.87,27.59,6.88,6.88,0,0.0,0.0,92.77,210.19,117.42,Divorced,employed,college,White,noneFinance,owner,High,No,20-40,1990s
1077,1215,5706,1999,0,1,41,1.06,18.79,13.34,13.34,0,0.0,0.0,8.1,8.1,0.0,Divorced,employed,college,White,noneFinance,renter,High,No,40-60,1990s
1079,1217,6380,1999,1,2,48,0.0,0.0,7.14,14.29,0,0.0,0.0,0.0,0.0,0.0,Widowed,unemployed,college,Black,finance,renter,High,Yes,40-60,1990s
1081,1219,4155,1999,0,3,57,5.87,100.79,20.86,62.58,0,0.0,0.0,324.68,324.68,0.0,Married,employed,postGraduate,White,noneFinance,renter,High,No,40-60,1990s
1084,1222,3006,1999,0,2,56,10.57,99.3,11.94,23.87,1,29.36,46.97,97.46,414.51,317.05,Married,employed,postGraduate,White,noneFinance,owner,High,No,40-60,1990s
1086,1224,897,1999,0,1,52,1.17,0.0,20.05,20.05,0,0.0,0.0,22.31,22.31,0.0,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s
1087,1225,5533,1999,0,2,50,4.11,35.23,15.62,31.24,0,0.0,7.05,124.82,185.88,61.06,Divorced,employed,college,White,noneFinance,owner,High,No,40-60,1990s
